price,address,city_zip,beds,bath,sf,price_per_sf,year_built,days_on_zip,created
114900,7221 Coronado Cir #111 #111,"Austin - East, TX 78752",3,3,1517,76,1977,1,2013-06-11
125900,407 E 45th St #216 #216,"Austin - Central, TX 78751",1,1,500,252,1979,1,2013-06-11
119900,3506 Speedway #208 #208,"Austin - Central, TX 78705",1,1,568,211,1982,1,2013-06-11
339900,1704 West Ave #108 #108,"Austin - Central, TX 78701",2,3,1593,213,1986,1,2013-06-11
257000,1203 W 43 Ave,"Austin - Central, TX 78756",2,1,686,375,1942,1,2013-06-11
248000,1101 Shoal Creek #20 #20,"Austin - Central, TX 78701",2,1,800,310,1961,1,2013-06-11
149900,3815 Guadalupe St #303 #303,"Austin - Central, TX 78751",1,1,630,238,1969,4,2013-06-11
399900,54 Rainey St #1109 #1109,"Austin - Central, TX 78701",2,2,1164,344,2005,4,2013-06-11
219000,808 W 29th St #203 #203,"Austin - Central, TX 78705",2,2,949,231,1984,5,2013-06-11
137700,2104 Morley Dr,"Austin - East, TX 78752",2,2,1666,83,1978,5,2013-06-11
127000,407 E 45th St #112 #112,"Austin - Central, TX 78751",1,1,500,254,1979,5,2013-06-11
300000,308 W 34th St #b #b,"Austin - Central, TX 78705",1,2,946,317,2007,5,2013-06-11
219900,3016 Guadalupe St #207 #207,"Austin - Central, TX 78705",1,1,757,290,2006,6,2013-06-11
105000,3206 King St #205 #205,"Austin - Central, TX 78705",1,1,400,263,1980,6,2013-06-11
224900,3011 Speedway #2 #2,"Austin - Central, TX 78705",2,1,689,326,1965,6,2013-06-11
99000,2714 Nueces St #102 #102,"Austin - Central, TX 78705",1,1,376,263,1981,7,2013-06-11
330000,1801 Lavaca St #3k #3k,"Austin - Central, TX 78701",2,2,1169,282,1964,7,2013-06-11
159900,1407 West 39th 1/2 St #102 #102,"Austin - Central, TX 78756",1,1,702,228,1972,8,2013-06-11
325750,1603 Enfield #215 #215,"Austin - Central, TX 78703",1,1,786,414,2012,8,2013-06-11
292750,1603 Enfield ##305 ##305,"Austin - Central, TX 78703",1,1,767,382,2012,8,2013-06-11
176900,807 W 25th St #304 #304,"Austin - Central, TX 78705",2,1,688,257,1984,8,2013-06-11
349900,40 N Interstate 35 #2b1 #2b1,"Austin - Central, TX 78701",2,2,1288,272,1983,8,2013-06-11
278000,41 Waller St #104 #104,"Austin - East, TX 78702",2,1,936,297,2007,8,2013-06-11
229000,1906 Robbins Pl #203 #203,"Austin - Central, TX 78705",2,2,930,246,1984,10,2013-06-11
182000,1110 W 22nd St #9 #9,"Austin - Central, TX 78705",1,1,560,325,2008,11,2013-06-11
89500,701 Nelray Blvd #4 #4,"Austin - Central, TX 78751",1,1,387,231,1984,11,2013-06-11
339500,1603 Enfield ##303 ##303,"Austin - Central, TX 78703",1,1,773,439,2012,12,2013-06-11
115900,4209 Burnet Rd #102 #102,"Austin - Central, TX 78756",1,1,562,206,1967,12,2013-06-11
127000,407 E 45th St #201 #201,"Austin - Central, TX 78751",1,1,500,254,1979,12,2013-06-11
369999,1704 West Ave #102 #102,"Austin - Central, TX 78701",2,3,1647,225,1986,13,2013-06-11
299000,711 W 26th St #702 #702,"Austin - Central, TX 78705",2,2,1058,283,2004,13,2013-06-11
129500,4209 Burnet Rd #107 #107,"Austin - Central, TX 78756",1,1,614,211,1967,16,2013-06-11
259900,2529 Rio Grande St #32 #32,"Austin - Central, TX 78705",1,2,966,269,1977,18,2013-06-11
289000,1601 Miriam Ave #108 #108,"Austin - East, TX 78702",3,3,1404,206,2007,19,2013-06-11
135000,2408 Longview #114 #114,"Austin - Central, TX 78705",2,1,710,190,1962,20,2013-06-11
119999,304 E 33rd St #20 #20,"Austin - Central, TX 78705",1,1,432,278,1970,21,2013-06-11
